anime_name,anime_review
Неспешная жизнь уволенного тёмного солдата (тридцати лет),"8,1"
Магическая революция перерождённой принцессы и гениальной юной леди,"7,6"
Волшебник ледяного клинка правит миром,"7,2"
Необычное такси: В лесу,"8,1"
Кулинарные скитания в параллельном мире,"9,0"
Сказ о парии,"7,8"
Томо — девушка!,"8,8"
Ледяной парень и классная девушка-коллега,"8,0"
Кубо не прощает меня — моба,"8,0"
Ангел по соседству,"8,8"
Эндо и Кобаяси в прямом эфире комментируют злодейку,"7,9"
Пять невест. Фильм,"8,8"
"Перевоплотившийся король-герой, ставший самой сильной ученицей рыцаря","7,2"
История о мононокэ,"8,4"
"Авантюристы, которые не верят в человечество, спасут мир","7,2"
Король огненной охоты,"7,9"
Монстр,"9,3"
Сбережение восьмидесяти тысяч золотых монет в другом мире к моей старости,"7,8"
"Может, я встречу тебя в подземелье? 4. Часть 2","9,1"
Фермерская жизнь в ином мире,"8,7"
Кайна в великом снежном море,"7,6"
Реинкарнация сильнейшего оммёдзи: Эти монстры слишком слабы по сравнению с моим ёкаем,"8,1"
Волшебник-воин Орфен 3,"6,7"
Треугольник Аякаси,"5,9"
Папаши-дружбаны,"9,2"
Мститель,"8,0"
Гигантский зверь Арса,"7,0"
Клуб стрельбы из лука: Зона выстрела,"8,4"
Клуб стрельбы из лука 2,"8,9"
D4DJ: Первый микс 2,"7,1"
Мой братик теперь не братик!,"8,1"
Семь смертных грехов: Недовольство Эдинбурга,"3,0"
Плод эволюции 2,"5,2"
Ниер: Автомата — Версия 1.1а,"8,6"
Шпионский класс,"7,0"
Стать любимой собачкой,"5,6"
Токийские мстители: Рождественская битва,"8,5"
Этот вампир постоянно умирает 2,"8,4"
Технороид: Сверхразум,"6,9"
"Не издевайся, Нагаторо: Вторая атака","8,3"
Великий из бродячих псов 4,"9,1"
Сказка о сахарном яблоке,"8,9"
Легенда о героях: След холодной стали — Северная война,"6,0"
Ещё раз «иппон»!,"6,0"
Детективное агентство Ли,"7,0"
Лукизм,"8,5"
Триган: Ураган,"8,0"
Мастер на все руки Сайто в другом мире,"8,2"
Сага о Винланде 2,"9,0"
Ложные выводы 2,"8,5"
"Не люблю боль, поэтому собираюсь вложить всё в защиту 2","7,9"
Избранный богами 2,"7,6"
Непризнанный школой владыка демонов 2,"8,1"
Унеси меня на Луну: Униформа,"8,9"
Слушайтесь папу! OVA,"7,2"
Слушайтесь папу! Поккапока,"7,4"
Слушайтесь папу!,"8,1"
Невероятное приключение ДжоДжо: Каменный океан. Часть 3,"8,9"
Нежный укус+,"7,7"
Нежный укус,"7,5"
Школа убийц: Театр марионеток OVA,—
Школа убийц: Театр марионеток,"6,7"
Школа убийц,"7,5"
Легенда о Белом Коте 2,"7,9"
Братство чёрной крови,"8,0"
Мув-Лув: Альтернатива 2,"7,4"
Гангрейв,"9,1"
"Мастер муси: Тень, поглотившая Солнце","9,0"
Семь смертных грехов: Проклятые светом,"8,2"
Скитальцы OVA,"8,7"
Скитальцы: Специальное издание,"8,4"
Ублюдок!! Сокрушитель тьмы. Часть 2 ONA,"7,6"
Флотская коллекция. Фильм,"6,8"
Флотская коллекция,"6,6"
Флотская Коллекция: Однажды в этом море,"6,5"
Несносные пришельцы (2022),"7,7"
Любовные неудачи,"7,4"
Легенда о мане: Кристалл слёз,"4,9"
"Моя жизнь после того, как однажды утром я стал микрофоном в голове манекена","6,9"
Вечные мальчики,"5,1"
Трусливый велосипедист: Преодоление лимита,"6,4"
Война горничных Акибы,"8,5"
Корзинка фруктов: Прелюдия,"9,3"
Принцесса-библиофил,"7,5"
Развращённая гильдия,"7,6"
Университет сумасшедших людей,"7,0"
Ваззрок,"3,8"
"Сыграйте круто, ребята","8,4"
Повседневная жизнь бессмертного короля 3,"7,7"
"Укротитель зверей, изгнанный из команды героя, встретил девочку-кошку из сильнейшей расы","8,1"
Четыре человека и ложь каждого,"7,0"
"Каким-то образом я стал сильнейшим, прокачивая фермерские навыки","6,3"
"Больше чем пара, меньше чем любовники","8,5"
Одинокий рокер!,"9,2"
Берсерк: Золотой век — Мемориальное издание,"6,4"
Аркнайтс: Прелюдия к рассвету,"7,6"
Мобильный воин Гандам: Ведьма с Меркурия,"8,1"
Мобильный воин Гандам: Ведьма с Меркурия — Пролог,"8,4"
Ворона императорского гарема,"8,7"
Время ниндзя,"6,8"
Жилой комплекс С,"6,8"
Магазинчик начинающего алхимика,"7,4"
Арифурэта: Сильнейший ремесленник в мире 2 OVA,"7,7"
Кошачьи дни,"8,1"
Золотое божество 4,"9,0"
Питер Грилл и время мудреца 2,"6,3"
Планетарианка: Снежный шар,"8,3"
Магическая битва 0. Фильм,"9,4"
Моб Психо 100 3,"9,3"
О моём перерождении в меч,"8,5"
Блич: Тысячелетняя кровавая война,"9,5"
Киберпанк: Бегущие по краю,"9,1"
"Добро пожаловать в ад, Ирума! 3","8,6"
Радость подъема: Следующая вершина,"7,6"
Семья шпиона. Часть 2,"9,1"
Моя геройская академия 6,"9,1"
"Для тебя, Бессмертный 2","9,1"
Синяя тюрьма: Блю Лок,"9,2"
У моего мастера нет хвоста,"7,5"
Восхождение в тени!,"8,9"
Человек-бензопила,"9,3"
Удзаки хочет тусоваться! 2,"8,3"
Пираты «Чёрной лагуны»: Кровавая тропа Роберты,"9,0"
Пираты «Чёрной лагуны»: Второй залп,"9,3"
Пираты «Чёрной лагуны»,"9,2"
"Я стала злодейкой, поэтому мне нужно заарканить последнего босса","8,3"
Сделай это сам!,"8,3"
Невероятное приключение ДжоДжо: Каменный океан. Часть 2,"8,6"
Баки Ханма,"8,5"
Эрго Прокси,"8,9"
Рилаккума и Каору,"6,5"
Рилаккума и парк развлечений,"4,2"
Граница пустоты: Благословение будущего — Дополнительная глава,"8,1"
Теккен: Кровные узы,"7,1"
Граница пустоты: Благословение будущего,"8,1"
Удар крови: Финал,"7,6"
Технолайз,"7,6"
Безумный азарт: Близнецы,"7,8"
У меня мало друзей: Дополнение,"7,6"
У меня мало друзей: Эпизод 0,"7,2"
У меня мало друзей: Продолжение,"8,1"
У меня мало друзей,"7,8"
Детективы Футо,"7,1"
Моя новая горничная очень подозрительна,"7,4"
Блестящий пост,"7,5"
Прославленный: Маска истины,"7,4"
Мастера Меча Онлайн: Прогрессив — Ария в беззвёздной ночи,"8,6"
Доктор Стоун: Рюсуй,"9,3"
Ориент. Часть 2,"8,3"
Усаги из Уравы,"5,9"
Мусасино!,"6,0"
Буттигирэ!,"6,6"
Чёрный призыватель,"8,1"
Новый Принц Тенниса: Чемпионат мира U-17,"7,0"
"Созданный в Бездне: Солнце, вспыхнувшее в Золотом городе","9,2"
Улыбка Арснотории,"5,5"
Духи Деко,"6,1"
Сияющие ведьмы,"6,7"
Вершина!,"5,7"
Песнь ночных сов,"8,7"
Живая любовь! Суперзвезда!! 2,"7,6"
Ликорис Рикоил,"8,7"
Дом теней 2,"9,0"
Удар! Гол в будущее,"6,1"
Дочь моей мачехи — моя бывшая девушка,"7,6"
Фармацевт из параллельного мира,"8,5"
Ублюдок!! Сокрушитель тьмы ONA,"7,2"
Перестану быть героем: Спецвыпуски,"7,7"
Маленькие проказники! Ещё раз,"8,1"
Маленькие проказники!,"7,9"
Жизнь перерождённого мудреца в другом мире. Получение второй профессии и становление сильнейшим,"6,9"
Вампир в саду,"8,2"
Гарем рабов в лабиринте другого мира,"7,5"
Убей или умри,"8,7"
Повелитель тьмы на подработке!!,"7,6"
Серебряная ложка 2,"9,0"
Серебряная ложка,"8,8"
Радуга: Семеро из шестой камеры,"9,0"
Иная: Другая — Судьба,"8,4"
Иная,"8,4"
Золотая пора,"8,7"
Перерождение Дяди,"9,0"
Повелитель 4,"9,1"
